Date,Time,Total_trips_from_LGA,Total_trips_to_LGA,5min_saved_time_pickup,5min_saved_rides_pickup,5min_saved_time_dropoff,5min_saved_rides_dropoff,5min_av_per_saved_time_pickup,5min_av_per_saved_rides_pickup,5min_av_per_saved_time_dropoff,5min_av_per_saved_rides_dropoff,5min_av_computation_time_pickup,5min_av_computation_time_dropoff,10min_saved_time_pickup,10min_saved_rides_pickup,10min_saved_time_dropoff,10min_saved_rides_dropoff,10min_av_per_saved_time_pickup,10min_av_per_saved_rides_pickup,10min_av_per_saved_time_dropoff,10min_av_per_saved_rides_dropoff,10min_av_computation_time_pickup,10min_av_computation_time_dropoff
2016-05-11,00:00:00,10045,5402,33776.0000,3313,18738.0000,1760,0.3008,0.3298,0.3117,0.3258,0.0248,0.0142,38787.0000,3785,21467.0000,2004,0.3455,0.3768,0.3571,0.3710,0.0585,0.0265
2016-05-12,00:00:00,10597,6336,35446.0000,3482,22521.0000,2100,0.2993,0.3286,0.3187,0.3314,0.0266,0.0168,41167.0000,4017,25980.0000,2414,0.3476,0.3791,0.3677,0.3810,0.0624,0.0328
2016-05-13,00:00:00,10088,6004,32047.0000,3174,21004.0000,1990,0.2835,0.3146,0.3145,0.3314,0.0248,0.0152,37549.0000,3700,24331.0000,2300,0.3322,0.3668,0.3643,0.3831,0.0568,0.0304
2016-05-14,00:00:00,5982,2836,15699.0000,1589,7385.0000,735,0.2347,0.2656,0.2395,0.2592,0.0163,0.0104,19050.0000,1920,9133.0000,897,0.2848,0.3210,0.2962,0.3163,0.0286,0.0147
2016-05-15,00:00:00,10809,5014,35844.0000,3552,15957.0000,1534,0.2940,0.3286,0.2898,0.3059,0.0281,0.0137,41674.0000,4092,19120.0000,1833,0.3418,0.3786,0.3472,0.3656,0.0823,0.0250
2016-05-16,00:00:00,11955,5305,42163.0000,4093,17135.0000,1650,0.3126,0.3424,0.2946,0.3110,0.0295,0.0146,47472.0000,4594,20275.0000,1946,0.3519,0.3843,0.3486,0.3668,0.0818,0.0244
2016-05-17,00:00:00,12134,5283,41912.0000,4104,17598.0000,1684,0.3060,0.3382,0.3022,0.3188,0.0307,0.0142,47866.0000,4682,20730.0000,1978,0.3495,0.3859,0.3560,0.3744,0.0795,0.0260
2016-05-18,00:00:00,10858,6202,37007.0000,3626,21797.0000,2058,0.3029,0.3339,0.3151,0.3318,0.0266,0.0165,42935.0000,4170,25276.0000,2382,0.3514,0.3840,0.3654,0.3841,0.0663,0.0315
2016-05-19,00:00:00,10936,6694,37106.0000,3624,24547.0000,2305,0.3000,0.3314,0.3275,0.3443,0.0269,0.0176,43091.0000,4181,28141.0000,2639,0.3484,0.3823,0.3755,0.3942,0.0690,0.0354
2016-05-20,00:00:00,9840,6578,31172.0000,3107,22977.0000,2192,0.2822,0.3158,0.3125,0.3332,0.0239,0.0176,36426.0000,3608,26963.0000,2544,0.3298,0.3667,0.3667,0.3867,0.0587,0.0330
